score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label,ps_bins_to_make,ps_bins_to_use
NA,NA,NA,NA,NA,NA,25,3,NA,NA,"testing optuna for PS xgb model",1028,11,
NA,NA,NA,NA,NA,NA,90,3,NA,NA,"testing optuna for PS xgb model",654,14,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",518,7,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",593,12,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",742,22,
NA,NA,NA,NA,NA,NA,20,3,NA,NA,"testing optuna for PS xgb model",717,21,
NA,NA,NA,NA,NA,NA,15,3,NA,NA,"testing optuna for PS xgb model",975,28,
NA,NA,NA,NA,NA,NA,75,3,NA,NA,"testing optuna for PS xgb model",827,14,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",442,10,
NA,NA,NA,NA,NA,NA,60,3,NA,NA,"testing optuna for PS xgb model",454,17,
NA,NA,NA,NA,NA,NA,20,7,NA,NA,"testing optuna for PS xgb model",1247,32,
NA,NA,NA,NA,NA,NA,35,3,NA,NA,"testing optuna for PS xgb model",23,10,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",33,6,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",514,8,
NA,NA,NA,NA,NA,NA,20,4,NA,NA,"testing optuna for PS xgb model",745,40,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",567,15,
NA,NA,NA,NA,NA,NA,25,4,NA,NA,"testing optuna for PS xgb model",568,23,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",636,19,
NA,NA,NA,NA,NA,NA,15,3,NA,NA,"testing optuna for PS xgb model",664,19,
NA,NA,NA,NA,NA,NA,20,9,NA,NA,"testing optuna for PS xgb model",925,15,
NA,NA,NA,NA,NA,NA,30,3,NA,NA,"testing optuna for PS xgb model",625,26,
NA,NA,NA,NA,NA,NA,25,3,NA,NA,"testing optuna for PS xgb model",835,21,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",449,13,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",553,16,
NA,NA,NA,NA,NA,NA,15,3,NA,NA,"testing optuna for PS xgb model",560,16,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",1381,17,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",698,11,
NA,NA,NA,NA,NA,NA,115,3,NA,NA,"testing optuna for PS xgb model",777,19,
NA,NA,NA,NA,NA,NA,25,3,NA,NA,"testing optuna for PS xgb model",701,14,
NA,NA,NA,NA,NA,NA,20,3,NA,NA,"testing optuna for PS xgb model",500,28,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",607,11,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",878,24,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",897,21,
NA,NA,NA,NA,NA,NA,100,3,NA,NA,"testing optuna for PS xgb model",1064,34,
NA,NA,NA,NA,NA,NA,15,3,NA,NA,"testing optuna for PS xgb model",869,24,
NA,NA,NA,NA,NA,NA,15,3,NA,NA,"testing optuna for PS xgb model",995,21,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",782,18,
NA,NA,NA,NA,NA,NA,20,3,NA,NA,"testing optuna for PS xgb model",945,25,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",1119,16,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",1191,17,
NA,NA,NA,NA,NA,NA,30,4,NA,NA,"testing optuna for PS xgb model",1128,15,
NA,NA,NA,NA,NA,NA,25,4,NA,NA,"testing optuna for PS xgb model",898,29,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",777,23,
NA,NA,NA,NA,NA,NA,20,5,NA,NA,"testing optuna for PS xgb model",769,22,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1257,20,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1265,38,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1175,25,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1073,24,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1223,27,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1343,21,
NA,NA,NA,NA,NA,NA,50,7,NA,NA,"testing optuna for PS xgb model",1365,31,
NA,NA,NA,NA,NA,NA,190,6,NA,NA,"testing optuna for PS xgb model",1172,21,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",986,18,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",999,20,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1103,24,
NA,NA,NA,NA,NA,NA,70,6,NA,NA,"testing optuna for PS xgb model",1293,25,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1212,46,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1123,34,
NA,NA,NA,NA,NA,NA,85,6,NA,NA,"testing optuna for PS xgb model",1132,32,
NA,NA,NA,NA,NA,NA,25,7,NA,NA,"testing optuna for PS xgb model",945,45,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1091,35,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1086,35,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1323,23,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1365,29,
