INFO:__main__:Finished run: score=-1.3300804793834686, r2=[0.05956536531448364, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=557, ps_bin_to_use=3, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.622039556503296, r2=[0.0059566497802734375, -3.2500357627868652]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=469, ps_bin_to_use=3, model_param1=35, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6077380180358887, r2=[0.01899862289428711, -3.2344746589660645]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=190, ps_bin_to_use=4, model_param1=20, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.587376207113266, r2=[0.07535630464553833, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=651, ps_bin_to_use=7, model_param1=110, model_param2=8, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6354979872703552, r2=[-0.020887255668640137, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=350, ps_bin_to_use=4, model_param1=85, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.4767991602420807, r2=[0.29651039838790894, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=1004, ps_bin_to_use=56, model_param1=55, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6907525062561035, r2=[-0.13140583038330078, -3.2500991821289062]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=66, ps_bin_to_use=4, model_param1=40, model_param2=10, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5988210439682007, r2=[0.036832571029663086, -3.2344746589660645]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=144, ps_bin_to_use=1, model_param1=20, model_param2=9, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6339106559753418, r2=[-0.01771259307861328, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=235, ps_bin_to_use=6, model_param1=95, model_param2=3, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.652672827243805, r2=[-0.05523693561553955, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=582, ps_bin_to_use=2, model_param1=70, model_param2=6, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.3436751067638397, r2=[0.032376110553741455, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=486, ps_bin_to_use=3, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.3355814218521118, r2=[0.048563480377197266, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=612, ps_bin_to_use=3, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6299352049827576, r2=[-0.009834647178649902, -3.2500357627868652]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=424, ps_bin_to_use=1, model_param1=35, model_param2=6, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.552890419960022, r2=[0.1286938190460205, -3.2344746589660645]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=798, ps_bin_to_use=4, model_param1=20, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6554930210113525, r2=[-0.060877323150634766, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=272, ps_bin_to_use=2, model_param1=185, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.4793172478675842, r2=[0.29147422313690186, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=1098, ps_bin_to_use=11, model_param1=45, model_param2=3, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5659874975681305, r2=[0.11550396680831909, -3.24747896194458]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=546, ps_bin_to_use=8, model_param1=25, model_param2=6, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6908812522888184, r2=[-0.1316537857055664, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=195, ps_bin_to_use=5, model_param1=55, model_param2=7, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.1947444081306458, r2=[0.3302375078201294, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=1346, ps_bin_to_use=17, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.4689812064170837, r2=[0.31214630603790283, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=1277, ps_bin_to_use=25, model_param1=65, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.2161040306091309, r2=[0.2875182628631592, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=706, ps_bin_to_use=17, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.456703394651413, r2=[0.3210678696632385, -3.2344746589660645]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=897, ps_bin_to_use=15, model_param1=20, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.4656785726547241, r2=[0.3183138370513916, -3.24967098236084]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=782, ps_bin_to_use=20, model_param1=30, model_param2=5, label=testing optuna for PS xgb model
